num_question;annee;contexte_question;texte_question;image;numero_option;texte_option;texte_option;prerequis;effet_immediat;modification_programme;modification_objet;objet;programme;commandes
1;2011;Pour equiper la France en drone MALE, 4 options s'offrent a  vous : ;Quelle option souhaitez vous choisir ?;MALE.jpg;A;Achat sur etagere du drone Reaper americain. Solution la plus rapide pour combler le besoin, et deja  choisie par nombre de pays.;2;;;;;Reaper;Achat Reaper;
1;2011;Pour equiper la France en drone MALE, 4 options s'offrent a  vous : ;Quelle option souhaitez vous choisir ?;;B;Programme Franco-israelien DAROK : IAI (Israel) et Dassault (France) proposent de reprendre le design d'un drone israelien deja  existant, de l'adapter au besoin français. Solution permettant un transfert technologique vers la France, mais plus lente et plus couteuse;7;niveau_techno:5;europeanisation:-5;;;DAROK;Drone MALE franco-israelien;
1;2011;Pour equiper la France en drone MALE, 4 options s'offrent a  vous : ;Quelle option souhaitez vous choisir ?;;C;"Malgre les demonstrateurs de Dassaut et EADS, vous n'avez pas la competence technologique necessaire pour vous lancer d'emblee dans un programme. Vous proposez donc a  vos partenaires Europeens (France, Italie et Allemagne) une etude preliminaire de 2 ans, dans le but de savoir a  l'issue si ces industriels sont capables de realiser un drone MALE et quels seront les couts et temps neessaires pour un programme en cooperation associe
Le resultat attendu de l'etude que le programme soit moins couteux que le programme franco-israelien (car finance a  3) que le programme franco-israelien (B), mais plus long a  mettre en place, et avec une probabilite d'echec faible mais non nulle";10;niveau_techno:5;europeanisation:+10;;;;Etude_eurodrone;
1;2011;Pour equiper la France en drone MALE, 4 options s'offrent a  vous : ;Quelle option souhaitez vous choisir ?;;D;Rester sur le systeme interimaire israelien, ce dernier devenant obsolete.;0;;;;;;;
2;2011;Combien d'appareils achetez-vous sur etagere ?;Combien ?;REAPER.jpg;A;Plus de 20;3;;;;"cout_unitaire:-7
min_nb_utile:+20";Reaper;Achat Reaper;
2;2011;Combien d'appareils achetez-vous sur etagere ?;Combien ?;REAPER.jpg;B;De 10 a 20;3;;;;min_nb_utile:+10;Reaper;Achat Reaper;
2;2011;Combien d'appareils achetez-vous sur etagere ?;Combien ?;REAPER.jpg;C;Moins de 10;3;;;;cout_unitaire:+10;Reaper;Achat Reaper;
3;2011;Quand souhiatez-vous les recevoir ? Vous avez l'opportunite d'etaler plus la livraison pour baisser les couts d'importation de ces drones, ou de les augmenter en payant le prix adequat.;Quand ?;REAPER.jpg;A;"Augmentation de la cadence de livraison de +2 unites par an
Le cout unitaire augmente de 15M/unite";4;;;;"cout_unitaire:+15
unite_par_an:+2";Reaper;Achat Reaper;
3;2011;Quand souhiatez-vous les recevoir ? Vous avez l'opportunite d'etaler plus la livraison pour baisser les couts d'importation de ces drones, ou de les augmenter en payant le prix adequat.;Quand ?;REAPER.jpg;B;Maintien de la cadence de livraison annoncee, maintien du prix annonce;4;;;;;Reaper;Achat Reaper;
3;2011;Quand souhiatez-vous les recevoir ? Vous avez l'opportunite d'etaler plus la livraison pour baisser les couts d'importation de ces drones, ou de les augmenter en payant le prix adequat.;Quand ?;REAPER.jpg;C;"Consentement a  une baisse de la cadence de livraison de -2 unites par an
Cout unitaire reduie de 10M/unite";4;;;;"cout_unitaire:-10
unite_par_an:-2";Reaper;Achat Reaper;
4;2011;"Ces drones sont des drones armes. Quelles armes choisissez-vous pour ces drones : 
";Quelles munitions ?;;A;Armes US sur etageres. Cette solution vous permet de disposer de la pleine capacite de l'appareil des sa livraison, a  moindre couts.;5;;;;;Reaper;Achat Reaper;
4;2011;"Ces drones sont des drones armes. Quelles armes choisissez-vous pour ces drones : 
";Quelles munitions ?;;B;"Adaptation de munition françaises pour l'appareil
Cette solution est plus chere, plus longue (rajoute deux ans au delai du programme et coute 50M). En revanche elle incremente votre technologie et votre budget de defense a  chaque unite livree (on la considere livree avec ses munitions)";6;;;"duree:+2
niveau_techno:+1";"cout_unitaire:+4
budget:+1";Reaper;Achat Reaper;
5;2011;"Quelle quantite de munition sur etagere estimez-vous necessaire ?
";Quelle logique pour vos munitions ?;;A;"Logique de stock
Vous constituez un stock de munitions pour votre aeronefs, en cas de conflit. Cependant, cela genere des couts importants, car vos munutions expirent tous les 3ans, et que ce stock doit être reconsitue en permanence.";30;;;;cout_unitaire:+5;Reaper;Achat Reaper;launch_programme
5;2011;"Quelle quantite de munition sur etagere estimez-vous necessaire ?
";Quelle logique pour vos munitions ?;;B;"Logique de flux tendus
Vous achetez en permanence le juste necessaire pour le besoin actuel.";30;;;;;Reaper;Achat Reaper;launch_programme
6;2011;"Quelle quantite de munition sur etagere estimez-vous necessaire ?
";Quelle logique pour vos munitions ?;;A;"Logique de stock
Vous constituez un stock de munitions pour votre aeronefs, en cas de conflit. Cependant, cela genere des couts importants, car vos munutions expirent tous les 3ans, et que ce stock doit être reconsitue en permanence";30;;;;"cout_unitaire:+7
budget:+1";Reaper;Achat Reaper;launch_programme
6;2011;"Quelle quantite de munition sur etagere estimez-vous necessaire ?
";Quelle logique pour vos munitions ?;;B;"Logique de flux tendus
Vous achetez en permanence le juste necessaire pour le besoin actuel.";30;;;;;Reaper;Achat Reaper;launch_programme
7;2011;"Le programme DAROK est un programme de transfert technologique d'IAI (Israel) vers Dassault (France). IAI sera donc leader sur ces travaux avec un partage des travaux d'ingenieurie reparti en 65/35 en faveur d'IAI. 
Le gouvernement Français peut renegocier ces partages avec le gouvernement Israelien, et repercuter les resultats des negociations aux industriels selon les termes suivants.";Quel partage industriel entre Dassault (France) et IAI (Israel) ?;DAROK.jpg;A;"Augmenter la part de Dassault a  40 (partage total : 60/40)
Cette solution augmente l'increment technologique et augmente le cout du programme pour la France de 5% (10M/an)";8;;;"cout:+10
niveau_techno:+1";;DAROK;Drone MALE franco-israelien;
7;2011;"Le programme DAROK est un programme de transfert technologique d'IAI (Israel) vers Dassault (France). IAI sera donc leader sur ces travaux avec un partage des travaux d'ingenieurie reparti en 65/35 en faveur d'IAI. 
Le gouvernement Français peut renegocier ces partages avec le gouvernement Israelien, et repercuter les resultats des negociations aux industriels selon les termes suivants.";Quel partage industriel entre Dassault (France) et IAI (Israel) ?;DAROK.jpg;B;"Augmenter la part de Dassault a  45 (partage total : 55/45)
Cette solution augmente l'increment technologique et augmente le cout du programme pour la France de 10%  (50M/an)";8;;;"cout:+20
niveau_techno:+2";;DAROK;Drone MALE franco-israelien;
7;2011;"Le programme DAROK est un programme de transfert technologique d'IAI (Israel) vers Dassault (France). IAI sera donc leader sur ces travaux avec un partage des travaux d'ingenieurie reparti en 65/35 en faveur d'IAI. 
Le gouvernement Français peut renegocier ces partages avec le gouvernement Israelien, et repercuter les resultats des negociations aux industriels selon les termes suivants.";Quel partage industriel entre Dassault (France) et IAI (Israel) ?;DAROK.jpg;C;Conserver le partage actuel;8;;;;;DAROK;Drone MALE franco-israelien;
8;2011;"Combien d'appareils acheterez-vous  ? 
";Combien ?;DAROK.jpg;A;moins de 10;9;;;;"cout_unitaire:+25
budget:-3";DAROK;Drone MALE franco-israelien;
8;2011;"Combien d'appareils acheterez-vous  ? 
";Combien ?;DAROK.jpg;B;de 11 a 20;9;;;;min_nb_utile:+11;DAROK;Drone MALE franco-israelien;
8;2011;"Combien d'appareils acheterez-vous  ? 
";Combien ?;DAROK.jpg;C;plus de 21;9;;;;"cout_unitaire:-10
budget:+5
min_nb_utile:+21";DAROK;Drone MALE franco-israelien;
9;2011;Developpant le programme pour vos propres besoin, vous pouvez utiliser des munitions preexistantes d'helicopteres, evitant des couts d'adaptation ou de design supplementaires. Cependant, l'approvisionnement de ces munitions peut être pense suivant deux logiques.;Quelle logique pour vos munitions ?;;A;"Logique de flux tendus
Vous achetez en permanence le juste necessaire pour le besoin actuel.";30;;;;;DAROK;Drone MALE franco-israelien;launch_programme
9;2011;Developpant le programme pour vos propres besoin, vous pouvez utiliser des munitions preexistantes d'helicopteres, evitant des couts d'adaptation ou de design supplementaires. Cependant, l'approvisionnement de ces munitions peut être pense suivant deux logiques.;Quelle logique pour vos munitions ?;;B;"Logique de stock
Vous constituez un stock de munitions pour votre aeronefs, en cas de conflit. Cependant, cela genere des couts importants, car vos munutions expirent tous les 3ans, et que ce stock doit être reconsitue en permanence";30;;;;"budget:+2
cout_unitaire:+5";DAROK;Drone MALE franco-israelien;launch_programme
10;2011;"Cette etude preliminaire avec l'Allemagne  et l'Italie doit être partagee entre les differents industriels participants : 
EADS Allemagne, Dassault (France) et Leonardo (Italie). L'Allemagne propose un partage de 40% Allemagne(EADS, qui prend le lead du programme), 30% pour la France (Dassault) et 30% pour l'Italie (Leonardo).";Quel leadership pour l'etude preliminaire ?;EURODRONE.jpg;A;"Contester le lead de ces travaux en surencherissant a  sur votre participation dans l'etude, afin d'obtenir le lead pour la France (Dassault)
Le cout de l'etude de votre cote est augmente de 15M
En retour vous beneficiez d'une augmentation de l'increment technologique de l'etude";11;;;"cout:+15
niveau_techno:+1";;;Etude_eurodrone;
10;2011;"Cette etude preliminaire avec l'Allemagne  et l'Italie doit être partagee entre les differents industriels participants : 
EADS Allemagne, Dassault (France) et Leonardo (Italie). L'Allemagne propose un partage de 40% Allemagne(EADS, qui prend le lead du programme), 30% pour la France (Dassault) et 30% pour l'Italie (Leonardo).";Quel leadership pour l'etude preliminaire ?;EURODRONE.jpg;B;"Consentir au lead d'EADS qui est propose par l'Allemagne
Le cout de l'etude de votre cote est reduit de 10M";11;;;cout:-10;;;Etude_eurodrone;
11;2013;"Deux ans plus tard vous beneficiez des resultats de l'etude preliminaires. Il est a  noter que l'Espagne s'est montree interessee par l'etude preliminaire. Vous avez  de nouveau le choix entre les solutions suivantes : 
A : achat sur etagere americain (Reaper). 
B: Developpement d'un programme court Franco-israelien. 
C: Developpement d'un programme Europeen sur la base des resultats de l'etude
D: Rester sur le systeme interimaire israelien";Quelles suites donner a  l'Etude ?;;A;"Achat sur etagere du drone Reaper americain. Solution la plus rapide pour combler le besoin, et deja  choisie par nombre de pays.
";22;;europeanisation:-12;;;Reaper;Achat Reaper;
11;2013;"Deux ans plus tard vous beneficiez des resultats de l'etude preliminaires. Il est a  noter que l'Espagne s'est montree interessee par l'etude preliminaire. Vous avez  de nouveau le choix entre les solutions suivantes : 
A : achat sur etagere americain (Reaper). 
B: Developpement d'un programme court Franco-israelien. 
C: Developpement d'un programme Europeen sur la base des resultats de l'etude
D: Rester sur le systeme interimaire israelien";Quelles suites donner a  l'Etude ?;;B;Programme Franco-israelien DAROK : IAI (Israel) et Dassault (France) proposent de reprendre le design d'un drone d'IAI, de l'adapter au besoin français. Solution permettant un transfert technologique vers la France, mais plus lente qu'un achat sur etagere et plus couteuse qu'un programme commun;27;;europeanisation:-15;;;DAROK;Drone MALE franco-israelien;
11;2013;"Deux ans plus tard vous beneficiez des resultats de l'etude preliminaires. Il est a  noter que l'Espagne s'est montree interessee par l'etude preliminaire. Vous avez  de nouveau le choix entre les solutions suivantes : 
A : achat sur etagere americain (Reaper). 
B: Developpement d'un programme court Franco-israelien. 
C: Developpement d'un programme Europeen sur la base des resultats de l'etude
D: Rester sur le systeme interimaire israelien";Quelles suites donner a  l'Etude ?;;C;"Developpement d'un programme Europeen sur la base des resultats de l'etude
Cette solution apparait comme moins chere, mais plus longue et un peu plus incertaines. Le programme pourrait être rejoint par d'autres partenaires en cours de route, augmentant le delai mais diminuant les couts. 
Point de vue industriel, les retombees sont partagees entre les pays, et sont donc moins importantes que pour le programme Franco-Israelien. ";12;;europeanisation:+10;;;Eurodrone;Etude_eurodrone;
11;2013;"Deux ans plus tard vous beneficiez des resultats de l'etude preliminaires. Il est a  noter que l'Espagne s'est montree interessee par l'etude preliminaire. Vous avez  de nouveau le choix entre les solutions suivantes : 
A : achat sur etagere americain (Reaper). 
B: Developpement d'un programme court Franco-israelien. 
C: Developpement d'un programme Europeen sur la base des resultats de l'etude
D: Rester sur le systeme interimaire israelien";Quelles suites donner a  l'Etude ?;;D;Rester sur le systeme interimaire israelien, ce dernier devenant obsolete.;0;;;;;;;
12;2013;"Le partage industriel est proportionel au financement des etats. Cependant, une commande minimale de 100 drones est necessaire pour la viabilite du programme, sans quoi le cout du drone a  l'unite exploserait. L'Italie s'est positionne pour  25 drones et l'Allemagne pour 35.
Plusieurs options s'offrent a  vous : 
A:  En commander 40 pour completer la commande. Cette commande importante (la plus elevee) vous assure le leadership du programme, maximisant les retombees technologiques. Vous pourrez tenter de vendre (a  perte) vos drones excedentaires dans un second temps.
B : Negocier avec vos partenaires pour qu'ils commandent davantage de drones, pour repartir les unites excedentaires (30Italie, 30 France, 40 Allemagne).
C : Quitter le programme et revenir au choix precedent";Comment partager la commande necessaire au lancement du programme ?;EURODRONE.jpg;A;"Commander 40 pour completer la commande. Cette commande importante (la plus elevee) vous assure le leadership du programme, maximisant les retombees  technologiques et budgetaires. Votre influence est egalement plus grande sur le programme, pouvant potentiellement lever des verrous export de vos partenaires dans le futur. Vous pourrez tenter de vendre (a  perte) vos drones excedentaires dans un second temps.
Augmente l'increment technologique
Augmente l'increment de budget de defense par unite  française produite";13;;europeanisation:0;niveau_techno:+2;"budget:+1
min_nb_utile: +40";Eurodrone;Drone Europeen;
12;2013;"Le partage industriel est proportionel au financement des etats. Cependant, une commande minimale de 100 drones est necessaire pour la viabilite du programme, sans quoi le cout du drone a  l'unite exploserait. L'Italie s'est positionne pour  25 drones et l'Allemagne pour 35.
Plusieurs options s'offrent a  vous : 
A:  En commander 40 pour completer la commande. Cette commande importante (la plus elevee) vous assure le leadership du programme, maximisant les retombees technologiques. Vous pourrez tenter de vendre (a  perte) vos drones excedentaires dans un second temps.
B : Negocier avec vos partenaires pour qu'ils commandent davantage de drones, pour repartir les unites excedentaires (30Italie, 30 France, 40 Allemagne).
C : Quitter le programme et revenir au choix precedent";Comment partager la commande necessaire au lancement du programme ?;EURODRONE.jpg;B;"Negocier avec vos partenaires pour qu'ils commandent davantage de drones, pour repartir les unites excedentaires (30Italie, 30 France, 40 Allemagne). L'Allemagne benificera donc du leadershipe du programme et maximisera ses retombees economiques (technologiques et budgetaires).
Rajoute 1 an de delai dans le programme";14;;europeanisation:0;duree:+1;min_nb_utile: +30;Eurodrone;Drone Europeen;
12;2013;"Le partage industriel est proportionel au financement des etats. Cependant, une commande minimale de 100 drones est necessaire pour la viabilite du programme, sans quoi le cout du drone a  l'unite exploserait. L'Italie s'est positionne pour  25 drones et l'Allemagne pour 35.
Plusieurs options s'offrent a  vous : 
A:  En commander 40 pour completer la commande. Cette commande importante (la plus elevee) vous assure le leadership du programme, maximisant les retombees technologiques. Vous pourrez tenter de vendre (a  perte) vos drones excedentaires dans un second temps.
B : Negocier avec vos partenaires pour qu'ils commandent davantage de drones, pour repartir les unites excedentaires (30Italie, 30 France, 40 Allemagne).
C : Quitter le programme et revenir au choix precedent";Comment partager la commande necessaire au lancement du programme ?;;C;Quitter le programme et revenir au choix precedent;11;;europeanisation:-25;;;;;
13;2013;"Pendant les negociation de partage industriel entre les etats, l'Espagne a confirme son interêt pour le programme et souhaite le rejoindre, en commandant 25 drones. Cela peut potentiellement reduire davantage les couts du programme. En revanche, cela diminue vos retombees technologiques.
Plusieurs options s'offrent alors a  vous : 
A : Refuser l'integration de l'Espagne alors qu'elle etait bien accueillie par l'Allemagne et l'Italie
B : Integrer l'Espagne et conserver votre commande et votre leadership
C : Integrer l'Espagne et reduire votre commande a  25
D : Integrer l'Espagne et reduire votre commande";Acceptez-vous l'integration de l'Espagne au programme;EURODRONE.jpg;A;"Refuser l'integration de l'Espagne alors qu'elle etait bien accueillie par l'Allemagne et l'Italie.
Les autres aspects du programme restent inchanges";16;;europeanisation:-5;;;Eurodrone;Drone Europeen;
13;2013;"Pendant les negociation de partage industriel entre les etats, l'Espagne a confirme son interêt pour le programme et souhaite le rejoindre, en commandant 25 drones. Cela peut potentiellement reduire davantage les couts du programme. En revanche, cela diminue vos retombees technologiques.
Plusieurs options s'offrent alors a  vous : 
A : Refuser l'integration de l'Espagne alors qu'elle etait bien accueillie par l'Allemagne et l'Italie
B : Integrer l'Espagne et conserver votre commande et votre leadership
C : Integrer l'Espagne et reduire votre commande a  25
D : Integrer l'Espagne et reduire votre commande";Acceptez-vous l'integration de l'Espagne au programme;EURODRONE.jpg;B;"Reduit le cout du programme de 10M/an
Les economies d'echelles gra¢ce aux 125 drones permettent egalement de reduire le cout unitaire du drone de 10M
Votre increment technologique est reduit
";16;;;"cout:-10
niveau_techno:-1";cout_unitaire:-10;Eurodrone;Drone Europeen;
